frequency (cm^-1),IR intensity,eda_syn.out,eda_anti.out,molecule 1
1301.353566,2.775708,1.263901,1.511806,2.775708
1301.646822,2.787737,1.273470,1.514268,2.787737
1301.964282,2.801338,1.284073,1.517266,2.801338
1302.066381,2.805843,1.287538,1.518305,2.805843
1302.553588,2.828229,1.304454,1.523775,2.828229
1303.152199,2.857814,1.326126,1.531687,2.857814
1303.380593,2.869726,1.334663,1.535063,2.869726
1303.673849,2.885543,1.345849,1.539694,2.885543
1303.991309,2.903341,1.358250,1.545091,2.903341
1304.093408,2.909217,1.362303,1.546914,2.909217
1304.402180,2.927449,1.374762,1.552687,2.927449
1304.580615,2.938305,1.382100,1.556205,2.938305
1305.179226,2.976497,1.407485,1.569011,2.976497
1305.407620,2.991809,1.417492,1.574317,2.991809
1305.700876,3.012089,1.430609,1.581480,3.012089
1306.018336,3.034851,1.445159,1.589691,3.034851
1306.120435,3.042353,1.449918,1.592435,3.042353
1306.429207,3.065595,1.464549,1.601046,3.065595
1306.607642,3.079412,1.473171,1.606241,3.079412
1307.206254,3.127902,1.503025,1.624877,3.127902
1307.727903,3.172963,1.530256,1.642707,3.172963
1308.045363,3.201729,1.547409,1.654320,3.201729
1308.147462,3.211203,1.553022,1.658182,3.211203
1308.456234,3.240534,1.570289,1.670245,3.240534
1308.634669,3.257958,1.580473,1.677486,3.257958
1309.233281,3.319054,1.615772,1.703282,3.319054
1309.754930,3.375776,1.648026,1.727750,3.375776
1310.072390,3.411970,1.668370,1.743600,3.411970
1310.174489,3.423890,1.675033,1.748858,3.423890
1310.483261,3.460790,1.695543,1.765248,3.460790
1310.661696,3.482711,1.707649,1.775063,3.482711
1311.260308,3.559589,1.749672,1.809916,3.559589
1311.781957,3.631003,1.788153,1.842850,3.631003
1312.099417,3.676604,1.812467,1.864137,3.676604
1312.201516,3.691628,1.820436,1.871192,3.691628
1312.510288,3.738158,1.844989,1.893168,3.738158
1312.688723,3.765816,1.859497,1.906319,3.765816
1313.287335,3.862923,1.909946,1.952977,3.862923
1313.808984,3.953300,1.956262,1.997039,3.953300
1314.126444,4.011104,1.985585,2.025519,4.011104
1314.228543,4.030165,1.995205,2.034960,4.030165
1314.537315,4.089255,2.024879,2.064376,4.089255
1314.715750,4.124420,2.042434,2.081986,4.124420
1315.314362,4.248140,2.103606,2.144534,4.248140
1315.836011,4.363668,2.159939,2.203728,4.363668
1316.153471,4.437762,2.195690,2.242072,4.437762
1316.255570,4.462232,2.207433,2.254799,4.462232
1316.564342,4.538209,2.243701,2.294508,4.538209
1316.742777,4.583513,2.265188,2.318324,4.583513
1317.341389,4.743462,2.340247,2.403215,4.743462
1317.783600,4.870102,2.398806,2.471296,4.870102
1317.863038,4.893670,2.409620,2.484050,4.893670
1318.180498,4.990482,2.453770,2.536712,4.990482
